Feature,Importance_Gain
Strength,215.55206298828125
Form,201.48486328125
Quantity,184.71749877929688
Day_Supply,82.25624084472656
Sex,15.610672950744629
Age,14.52075481414795
Race_ethnicity,9.511736869812012
Insurance_coverage,8.759833335876465
Family_income,6.815468788146973
