Drug,Recall_before_thresh,Support_2022,Recall_thresh,Precision_thresh,Recall_change
lactulose,1.0,90.0,1.0,0.8411214953271028,0.0
tiotropium,1.0,406.0,1.0,0.9975429975429976,0.0
colchicine,1.0,168.0,1.0,1.0,0.0
no prescriptions,1.0,10040.0,1.0,1.0,0.0
senna,1.0,55.0,1.0,0.9821428571428571,0.0
tamsulosin,0.9990507831039392,2107.0,0.9990507831039392,0.9924563884959925,0.0
aspirin,0.9791937581274384,1538.0,0.976592977893368,0.9369931378665003,-0.0026
norethindrone,0.9727626459143968,257.0,0.9727626459143969,0.5070993914807302,0.0
alendronate,0.967741935483871,558.0,0.9659498207885304,0.9944649446494465,-0.0018
fenofibrate,0.9538714991762768,607.0,0.9538714991762768,0.75390625,0.0
chlorhexidine,0.9010989010989012,91.0,0.9010989010989011,0.9879518072289156,-0.0
anastrozole,0.8930041152263375,243.0,0.9176954732510288,0.4137291280148423,0.0247
albuterol,0.8870872058532727,5057.0,0.8870872058532727,0.8997192137986362,0.0
clavulanate,0.875,16.0,1.0,0.4444444444444444,0.125
gemfibrozil,0.865546218487395,119.0,1.0,0.37658227848101267,0.1345
ondansetron,0.861038961038961,770.0,0.7987012987012987,0.8785714285714286,-0.0623
gabapentin,0.8596033402922756,3832.0,0.75,0.8477876106194691,-0.1096
azithromycin,0.8490853658536586,656.0,0.8307926829268293,0.8569182389937107,-0.0183
linaclotide,0.848780487804878,205.0,0.9560975609756097,1.0,0.1073
methotrexate,0.839041095890411,292.0,0.8287671232876712,0.11747572815533981,-0.0103
finasteride,0.8347934918648311,799.0,0.8297872340425532,0.3020501138952164,-0.005
carvedilol,0.8191167574107683,1653.0,0.794313369630974,0.6624621594349143,-0.0248
sumatriptan,0.7820773930753564,491.0,0.7861507128309573,0.8792710706150342,0.0041
glimepiride,0.7613333333333333,750.0,0.7013333333333334,0.563169164882227,-0.06
fluconazole,0.7581227436823105,277.0,0.7617328519855595,0.5994318181818182,0.0036
celecoxib,0.7509578544061303,522.0,0.7509578544061303,0.6782006920415224,0.0
nitroglycerin,0.743801652892562,242.0,0.7479338842975206,0.09536354056902002,0.0041
hydrochlorothiazide,0.7415088668470093,3327.0,0.6720769461977758,0.4119380987472365,-0.0694
lorazepam,0.7185289957567186,707.0,0.6704384724186704,0.31983805668016196,-0.0481
methylprednisolone,0.674074074074074,270.0,0.6555555555555556,0.8082191780821918,-0.0185
benzonatate,0.6685082872928176,362.0,0.7265193370165746,0.6173708920187794,0.058
tizanidine,0.6622023809523809,672.0,0.6398809523809523,0.560625814863103,-0.0223
cefdinir,0.6476683937823834,193.0,0.6476683937823834,0.8561643835616438,0.0
methylphenidate,0.6311475409836066,1098.0,0.6056466302367942,0.4557916381082934,-0.0255
ramipril,0.6222222222222222,180.0,0.7055555555555556,0.39197530864197533,0.0833
amoxicillin,0.615793470007593,1317.0,0.4525436598329537,0.6240837696335079,-0.1632
diltiazem,0.6134453781512605,595.0,0.5865546218487395,0.4774281805745554,-0.0269
dorzolamide,0.6096256684491979,187.0,0.6470588235294118,1.0,0.0374
doxycycline,0.5873015873015873,756.0,0.5132275132275133,0.4024896265560166,-0.0741
lansoprazole,0.5594405594405595,143.0,0.6153846153846154,0.0842911877394636,0.0559
doxazosin,0.5572139303482587,201.0,0.6915422885572139,0.4212121212121212,0.1343
