fold,accuracy,cohen_kappa,mcc,macro_precision,micro_precision,macro_recall,micro_recall,macro_f1,micro_f1,macro_f2,micro_f2
1,0.2213352765172844,0.2087739095539417,0.2268764853724835,0.291293407418717,0.2213352765172844,0.1492104115715732,0.2213352765172844,0.15851443206025126,0.2213352765172844,0.14530231678709402,0.2213352765172844
2,0.3836187384761463,0.3713525758979136,0.37498820992627874,0.3895225805691628,0.3836187384761463,0.3202187786209747,0.3836187384761463,0.3109283770928166,0.3836187384761463,0.3070364438013492,0.3836187384761463
3,0.3631877049451823,0.3505223922957196,0.35544636699203097,0.3709749530964725,0.3631877049451823,0.2892626917008023,0.3631877049451823,0.27704687818946205,0.3631877049451823,0.27180175056955563,0.36318770494518227
4,0.3195616771094979,0.307095903224307,0.3300696301790396,0.4018436856923908,0.3195616771094979,0.26375554306796306,0.3195616771094979,0.2746759216779691,0.3195616771094979,0.25834113131128456,0.3195616771094979
5,0.39162549338927377,0.3784240280903076,0.3801353755257411,0.3341023656836122,0.39162549338927377,0.30373945567927724,0.39162549338927377,0.26938279737789017,0.3916254933892738,0.2763379316994047,0.39162549338927377
