Model,Accuracy,Macro_Recall,Macro_F2,Drugs_Recalled
XGBoost Super (no threshold),0.3543596195116953,0.2924937756435142,0.2754009844064999,176
XGBoost Super + Threshold,0.3054380681850526,0.3142679552498917,0.2773472802185946,181
